FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
32015,NV_N,620,35.0,57.0,92,22498.664048616203,3338.5114394720817,19160.152609144123
32003,NV_S,19500,300.0,244.0,544,163636.956764885,4565.051511799868,159071.90525308513
32003,NV_S,9000,116.0,370.0,486,330675.9292629277,17856.500180198094,312819.42908272956
32007,NV_N,11700,670.0,3660.0,4330,429878.708041806,159091.8637453863,270786.8442964197
32017,NV_S,50,8.0,13.0,21,1825.7484434612948,766.8143462537438,1058.934097207551
32013,NV_N,3000,141.0,440.0,581,110225.30975430923,21346.968322417888,88878.34143189134
32003,NV_S,4800,62.0,198.0,260,173094.56050306337,9375.9553605826,163718.60514248078
32003,NV_S,10900,0.0,0.0,0,4902236.6311655715,0.0,4902236.6311655715
32017,NV_S,2200,28.0,89.0,117,80831.89381982677,4298.78708041806,76533.10673940871
32003,NV_S,410,13.0,74.0,87,14785.16037630333,3137.338909118024,11647.821467185307
32003,NV_S,44500,1407.0,8054.0,9461,111019.11342537936,23603.411957696946,87415.7014676824
32003,NV_S,5200,67.0,215.0,282,273612.7853654293,14838.23182174059,258774.5535436887
32023,NV_S,23200,485.0,140.0,625,1089189.3571277668,29342.385698485094,1059846.9714292816
32005,NV_N,11100,595.0,2180.0,2775,563918.127928219,140979.53198205476,422938.5959461643
32019,NV_N,7700,194.0,272.0,466,757923.7451377583,45869.151329116285,712054.593808642
32023,NV_S,60,0.0,0.0,0,45137.94474753626,0.0,45137.94474753626
32003,NV_S,1850,36.0,12.0,48,122937.50854387514,3189.729951408652,119747.7785924665
32011,NV_N,8050,458.0,2505.0,2963,295771.2478407298,108865.8642673394,186905.38357339037
32015,NV_N,670,46.0,46.0,92,35405.911740216485,4861.707283731219,30544.204456485266
32003,NV_S,7800,293.0,607.0,900,286585.80536120397,33067.59292629277,253518.2124349112
32027,NV_N,250,3.0,4.0,7,9072.04195508718,254.017174742441,8818.024780344738
32003,NV_S,24400,870.0,4850.0,5720,890965.2404091118,208865.62193197213,682099.6184771397
32013,NV_N,8350,447.0,1638.0,2085,306793.7788161607,76606.5902792449,230187.18853691578
32033,NV_N,410,5.0,17.0,22,27152.621571575928,1456.969937987001,25695.65163358893
32019,NV_N,9050,774.0,3402.0,4176,426930.2944064026,197001.2054631091,229929.08894329352
32019,NV_N,370,9.0,13.0,22,10321.715734400437,613.7236382616477,9707.992096138789
32029,NV_N,1100,68.0,96.0,164,39916.984602383585,5951.25952253719,33965.725079846394
32023,NV_S,1800,36.0,12.0,48,131862.12981719215,3516.3234617917906,128345.80635540036
32003,NV_S,45000,1414.0,8093.0,9507,4704987.758957088,994007.0805423341,3710980.6784147536
32031,NV_N,112000,5235.0,7634.0,12869,4775522.885157891,548716.1072240794,4226806.777933811
32510,NV_N,2200,0.0,0.0,0,253472.85222513578,0.0,253472.85222513578
32033,NV_N,410,5.0,17.0,22,15808.033106739409,848.2359228006512,14959.797183938757
32015,NV_N,180,5.0,6.0,11,6613.518585258554,404.15946909913384,6209.3591161594195
32023,NV_N,690,9.0,28.0,37,60093.205910497476,3222.389302446966,56870.81660805051
32011,NV_N,900,23.0,32.0,55,32659.351038313845,1995.8492301191793,30663.501808194666
32003,NV_S,131000,4137.0,23671.0,27808,4813171.859271503,1021715.1378826103,3791456.7213888927
32013,NV_N,10,0.0,0.0,0,669.0630941876794,0.0,669.0630941876794
32007,NV_N,3050,247.0,841.0,1088,143190.84220860727,51079.22502392285,92111.61718468441
32013,NV_N,3250,82.0,115.0,197,119410.752233835,7238.128673866306,112172.62355996869
32017,NV_S,810,34.0,47.0,81,79362.22302310265,7936.222302310264,71426.00072079238
32007,NV_N,390,10.0,14.0,24,27154.889582064698,1671.0701281270583,25483.819453937638
32001,NV_N,1150,28.0,40.0,68,45382.889880323615,2683.5100103147875,42699.37987000883
32003,NV_S,590,0.0,0.0,0,48440.16801918799,0.0,48440.16801918799
32013,NV_N,3250,82.0,115.0,197,119410.752233835,7238.128673866306,112172.62355996869
32003,NV_S,7800,100.0,320.0,420,537790.647097568,28957.957920638277,508832.68917692977
32007,NV_N,8200,465.0,2544.0,3009,35335.603415064565,12966.442765357227,22369.160649707337
32003,NV_S,10200,201.0,62.0,263,1059523.7799346317,27319.093541451777,1032204.6863931799
32007,NV_N,3050,247.0,841.0,1088,112062.39825021438,39975.04567089614,72087.35257931823
32003,NV_S,12200,245.0,78.0,323,788587.246945953,20878.17055438876,767709.0763915642
32003,NV_S,8100,162.0,55.0,217,569497.4337305976,15256.906557967863,554240.5271726297
32027,NV_N,10200,559.0,3054.0,3613,374766.0531646514,132748.01471410642,242018.03845054496
32015,NV_N,620,35.0,57.0,92,29388.879913504916,4360.930567810407,25027.94934569451
32031,NV_N,54500,2908.0,10658.0,13566,580950.8866988953,144608.8023661874,436342.08433270786
32023,NV_S,4800,62.0,198.0,260,181803.72077994706,9847.701542247132,171956.01923769992
32023,NV_N,60,6.0,14.0,20,2190.898132153554,730.2993773845179,1460.598754769036
32007,NV_N,390,10.0,14.0,24,14240.837858998098,876.3592528614215,13364.478606136678
32007,NV_N,2250,56.0,79.0,135,165848.2669914375,9950.89601948625,155897.37097195126
32003,NV_S,10900,0.0,0.0,0,44498.36578970261,0.0,44498.36578970261
32007,NV_N,2250,56.0,79.0,135,82668.98231573192,4960.1389389439155,77708.843376788
32003,NV_S,2200,28.0,89.0,117,206071.43300980527,10959.253482794189,195112.1795270111
