FIPS,LOAD_AREA,AADT,AADT_SINGL,AADT_COMBI,AADTT,Total_VMT,HD_VMT,LD_VMT
46081,WY_NE,7905,458.0,577.0,1035,410565.46472466976,53755.25059962469,356810.21412504505
46103,WY_NE,20885,178.0,170.0,348,890507.1022903799,14838.23182174059,875668.8704686393
46033,WY_NE,534,3.0,14.0,17,21800.11681807449,694.0112095641692,21106.10560851032
46019,WY_NE,1042,27.0,90.0,117,35212.677246573134,3953.8226850758697,31258.854561497265
46019,WY_NE,8834,362.0,459.0,821,36064.088384058065,3351.6659003069585,32712.422483751106
46047,WY_NE,239,12.0,35.0,47,8835.488461108282,1737.5228354480719,7097.96562566021
46103,WY_NE,37600,714.0,2143.0,2857,1714071.6069941716,130242.08992506245,1583829.5170691092
46033,WY_NE,1385,39.0,30.0,69,50573.23188387787,2519.5328519765867,48053.69903190128
46019,WY_NE,8834,186.0,636.0,822,322573.23499074153,30015.304410503686,292557.9305802378
46103,WY_NE,8798,264.0,862.0,1126,325249.4873674923,41626.61090881977,283622.8764586725
46081,WY_NE,500,0.0,0.0,0,51030.23599736538,0.0,51030.23599736538
46033,WY_NE,665,3.0,13.0,16,24282.45429803522,584.2395019076143,23698.214796127606
46093,WY_NE,22920,871.0,2475.0,3346,836923.0864826576,122179.08583642985,714744.0006462277
46047,WY_NE,84,9.0,7.0,16,838.2566766500554,159.66793840953434,678.588738240521
46103,WY_NE,37600,714.0,2143.0,2857,2055180.3845054496,156160.91379074653,1899019.470714703
