registry_id,primary_name,latitude83,longitude83,naics_code
110003391231,RANDALL BANK'S SCRAP METAL,34.33321,-86.20183,331314
110042933083,BANKS RECYCLING,34.33371,-86.19744,331314
110064516643,MUELLER COMPANY,34.232799,-86.185217,331511
110042933083,BANKS RECYCLING,34.33371,-86.19744,331314
110070339838,94380 - OLDCASTLE BUILDING ENVELOPE INC,45.23009,-93.647356,327215
110024887853,BANK'S RECYCLING,34.32355,-86.22959,331314
110070311716,"STELLAR MANAGEMENT GROUP VI, LLC",34.281752,-86.215457,325612
110023104148,CHEM-TECH INC,45.246069,-93.686505,325998
110024887844,B & B SCRAP METAL,34.32771,-86.19948,331314
110057071001,NATIONAL COATINGS & SUPPLIES,34.274573,-86.202405,325510
110000368245,MUELLER CO,34.2297,-86.1857,331511
110003377809,UNIVERSAL COATINGS CORP.,34.240886,-86.281906,325510
110024887853,BANK'S RECYCLING,34.32355,-86.22959,331314
110000368245,MUELLER CO,34.2297,-86.1857,331511
110000368245,MUELLER CO,34.2297,-86.1857,331511
110068455558,OLD CASTLE BUILDING ENVELOPE,45.23009,-93.647356,327215
110003377809,UNIVERSAL COATINGS CORP.,34.240886,-86.281906,32551
110003391231,RANDALL BANK'S SCRAP METAL,34.33321,-86.20183,331314
110000368245,MUELLER CO,34.2297,-86.1857,331511
110000368245,MUELLER CO,34.2297,-86.1857,331511
110024887844,B & B SCRAP METAL,34.32771,-86.19948,331314
110000368245,MUELLER CO,34.2297,-86.1857,33121
110000368245,MUELLER CO,34.2297,-86.1857,331511
110000368245,MUELLER CO,34.2297,-86.1857,331511
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325199
110031019047,GOPHER PLASTICS,43.62292,-93.354228,325211
110001849741,ALMCO INC,43.651995,-93.358798,331511
110024870380,REG - ALBERT LEA,43.574095,-93.300297,325199
110003777173,TEC INDUSTRIAL INC - ALBERT L,43.65213,-93.35303,32532
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
110008740817,NATURAL BIOLOGICS LLC,43.6803,-93.34612,325412
110003777173,TEC INDUSTRIAL INC - ALBERT L,43.65213,-93.35303,325320
110001849741,ALMCO INC,43.651995,-93.358798,331511
110068874659,WENTZLER'S PAINTING & SANDBLA,43.6282,-93.35565,325510
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325199
110024870380,REG - ALBERT LEA,43.574095,-93.300297,325199
110032967957,POET BIOREFINING GLENVILLE LLC,43.576274,-93.301773,325193
