AIRPORT,demand_mwh_h2,Latitude,Longitude,total_h2_demand_kg
PGA,0.27532419412720954,36.92611111,-111.44833333,8.245708120012265
PGS,0.00017169437595914526,35.52833333,-113.24666667,0.00514208972623975
PHX,4648076.220209368,33.43361111,-112.01194444,139205637.02334136
PIH,2.614362311221901,42.89861111,-112.605,78.29776313932018
PLU,1.1212295007178368e-05,47.103901,-122.287003,0.0003357979936261865
PMD,3.07623786968537e-05,34.62944444,-118.08444444,0.0009213051421639324
PNA,0.0,42.79550171,-109.8069992,0.0
POC,0.0,34.09166667,-117.78166667,0.0
PRB,6.660422708287547e-05,35.67805556,-120.6275,0.001994735761691389
PRC,0.10152175207774601,34.65472222,-112.41916667,3.040483739974424
PSC,693.9934741111425,46.26472222,-119.11888889,20784.47062327471
PSO,0.00017606405980290807,37.28630066,-107.0559998,0.005272957765885237
PSP,2885.2897084736032,33.82972222,-116.50666667,86411.79120915254
PTV,0.0,36.02944444,-119.06277778,0.0
PUB,0.002056104082922471,38.29,-104.49805556,0.06157843914113419
PUC,1.3188817465723964e-05,39.61388889,-110.75166667,0.00039499303581084046
PUW,0.14698102173543293,46.74166667,-117.11166667,4.401947341582298
PVF,1.6682514776731496e-07,38.72416667,-120.75333333,4.996260789676998e-06
PVU,98.11258619011126,40.21888889,-111.7225,2938.3823357325923
PWT,2.9074667129635947e-05,47.49027778,-122.76472222,0.0008707597223610647
RAL,1.508356627313631e-08,33.95194444,-117.445,4.5173903183996136e-07
RAP,221269.01779152916,44.04888889,-103.06138889,6626804.965304856
RBG,0.023658438488654655,43.23944444,-123.35583333,0.7085486220022359
RBL,4.716646869051827e-07,40.15027778,-122.25222222,1.4125926532050994e-05
RCA,10171.902798044615,44.145,-103.10361111,304639.1973059184
RCE,0.0658466465500871,48.61222222,-123.13861111,1.972046916744148
RDD,0.8258344425490468,40.50972222,-122.295,24.732987198234405
RDM,422.4981466487663,44.25416667,-121.15055556,12653.433562406897
REI,0.0,34.08530044555664,-117.14600372314452,0.0
RHV,0.0,37.332901001,-121.819000244,0.0
RIL,0.0015214954303199352,39.52666667,-107.72805556,0.045567398332432923
RIV,1.5168245918538559,33.88083333,-117.25944444,45.42751098693788
RIW,43.76364225421169,43.06555556,-108.46055556,1310.681109739793
RKS,111.57155809725705,41.59416667,-109.06527778,3341.466250292215
RLD,0.00010466977009475004,46.30555556,-119.30416667,0.0031347640040356407
RNM,0.0,33.03916667,-116.91527778,0.0
RNO,4833.000878795533,39.49916667,-119.76805556,144743.96162909654
RNT,0.0036238328013662034,47.49305556,-122.21583333,0.10853048222121005
RQB,0.03613415944638025,43.4325,-113.05555556,1.082185068774491
RQE,0.0004221646816437436,46.21333333,-119.79555556,0.012643446590109122
RTN,0.0285397056115126,36.74027778,-104.50611111,0.8547381135523391
RTS,0.0,39.6674,-119.875999,0.0
RWL,16.086665486385446,41.80583333,-107.20027778,481.78093699866565
RXE,0.0,43.8339,-111.805002,0.0
RYN,0.0,32.1422004699707,-111.1750030517578,0.0
S21,0.0002054061783222055,43.876301,-121.453003,0.006151727413063956
S39,0.0,44.286998748779,-120.90399932861,0.0
S43,4.398690861416863e-06,47.908199,-122.105003,0.00013173677332784854
S50,2.531526589304218e-07,47.327702,-122.226997,7.581690893393884e-06
SAA,0.019514573753639693,41.44361111,-106.8275,0.5844436583899278
SAC,2.9762757829436212e-05,38.51277778,-121.49333333,0.0008913674102856009
SAD,8.577063886221394e-06,32.85333333,-109.635,0.00025687522869785546
SAF,281.8438820586148,35.61666667,-106.08916667,8440.966818167559
SAN,614548.6780867416,32.73361111,-117.18972222,18405171.550965607
SBA,9576.18021047146,34.42583333,-119.84111111,286797.8499691962
SBD,122.6094026410305,34.09527778,-117.235,3672.0396118907006
SBP,31.482027086569882,35.23694444,-120.64027778,942.8579540751687
SBS,1.498195415236929e-05,40.51638889,-106.86638889,0.0004486958416402902
SCK,1.7618839267857613,37.89472222,-121.24,52.76681421939986
SDL,0.00017169437595914526,33.622898101807,-111.91100311279,0.00514208972623975
SDM,0.00018939225063323309,32.57194444,-116.98,0.005672124906655678
SEA,6486656.480059168,47.45,-122.31166667,194269436.35996312
SEE,3.480825348262469e-06,32.82611111,-116.9725,0.00010424753963050221
SEZ,0.00015434718647433198,34.848598480225,-111.78800201416,0.004622557246910212
SFF,0.0005371618797080248,47.68305556,-117.3225,0.01608750762827268
SFO,6478033.478956072,37.61888889,-122.37555556,194011185.35358107
SGU,16.253374878683154,37.03638889,-113.51027778,486.77373101776436
SHR,97.1296991425454,44.77166667,-106.98444444,2908.9457664733573
SIY,1.121372850345094e-07,41.78138889,-122.46805556,3.35840925530127e-06
SJC,71435.72404035507,37.36305556,-121.92861111,2139434.6822508257
SJN,4.7364274510614255e-05,34.51861111,-109.37888889,0.0014185167568318135
SKA,2.2849133135302674e-06,47.615,-117.65583333,6.843106659270043e-05
SKX,0.0546362116303121,36.452494,-105.67749,1.6363046310366007
SLC,2589056.8086901316,40.78833333,-111.97777778,77539886.4537326
SLE,0.30090830132204166,44.91194444,-123.00333333,9.011928760767944
SLI,3.226312515454556e-05,33.79000092,-118.052002,0.000966251127719244
SMF,70892.00888973936,38.69555556,-121.59083333,2123150.910144934
SMN,0.0,45.12333333,-113.88138889,0.0
SMO,0.00011615926569584454,34.01583333,-118.45138889,0.0034788639022415254
SMX,0.0596417413215736,34.90361111,-120.45888889,1.7862156730031027
SNA,27334.384461319838,33.67611111,-117.86777778,818639.846101223
SNS,2.8383191228963185e-05,36.66166667,-121.60444444,0.0008500506507625992
SOW,0.002072883671279287,34.26833333,-109.99722222,0.062080972485153846
SPF,5230.224880911475,44.48111111,-103.78611111,156640.4576493404
SPK,0.006301203827410734,40.145027,-111.667694,0.18871529881433763
