date,demand_mwh_baseline,demand_mwh_industry,demand_mwh_transport,demand_mwh_aviation
202,88117.8799160259,313707.3334247697,309997.7410642148,464455.0045384334
203,88117.8799160259,313707.3334247697,314798.8905779172,497931.58080155053
204,88117.8799160259,160677.19208425898,280511.66838849185,498602.15996063163
205,88117.8799160259,160677.19208425898,295525.84214661043,513006.42812553456
206,88117.8799160259,313707.3334247697,273411.2361406329,538208.7338308848
207,88117.8799160259,313707.3334247697,280797.6258779626,528772.8491511634
208,88117.8799160259,313707.3334247697,292298.0614333739,424925.75629681157
209,88117.8799160259,313707.3334247697,309479.02514013916,475453.5636545035
210,88117.8799160259,313707.3334247697,314272.14093545143,513097.033052017
211,88117.8799160259,160677.19208425898,279195.9066864498,507844.1192504057
212,88117.8799160259,160677.19208425898,294139.6552739162,520029.57547263964
213,88117.8799160259,313707.3334247697,272128.77954748424,544323.5522195623
214,88117.8799160259,313707.3334247697,279480.5228563069,513216.42667014606
215,88117.8799160259,313707.3334247697,290927.01470968267,416976.7366745498
216,88117.8799160259,313707.3334247697,308027.38980429963,462262.4404588525
217,88117.8799160259,313707.3334247697,312798.02310543257,502993.1067607246
218,88117.8799160259,160677.19208425898,279633.41220836516,485591.83778324083
219,88117.8799160259,160677.19208425898,294600.5779672912,503650.1990862157
220,88117.8799160259,313707.3334247697,272555.21075595793,538480.4204711417
221,88117.8799160259,313707.3334247697,279918.47438865347,524151.11500155885
222,88117.8799160259,313707.3334247697,291382.9031367634,410457.4956871871
223,88117.8799160259,313707.3334247697,308510.0748350894,481907.16963585996
224,88117.8799160259,313707.3334247697,313288.1838240611,504994.6819480327
225,88117.8799160259,160677.19208425898,275626.035427602,488187.9770391082
226,88117.8799160259,160677.19208425898,290378.7094182465,504977.4059881614
227,88117.8799160259,313707.3334247697,268649.2704423673,539130.7672844313
228,88117.8799160259,313707.3334247697,275907.01244665764,512919.8843261163
229,88117.8799160259,313707.3334247697,287207.1465209661,401843.168464116
