Facility Id,FRS Id,Facility Name_x,Latitude,Longitude,Unit Name,Primary NAICS Code_y,Unit CO2 emissions (non-biogenic),Specific Fuel Type,inWECC,inWestCensus
1007978,110002899908.0,"CHEVRON PRODUCTS, EL SEGUNDO REFINERY",33.9082,-118.4085,LSFO F-1100B,324110.0,111173.4,Fuel Gas,True,True
1006671,110000595124.0,CHS INC LAUREL REFINERY,45.65922,-108.76778,CP-1,324110.0,440946.3,Fuel Gas,True,True
1006671,110000595124.0,CHS INC LAUREL REFINERY,45.65922,-108.76778,CP-2,324110.0,38414.5,Fuel Gas,True,True
1006671,110000595124.0,CHS INC LAUREL REFINERY,45.65922,-108.76778,GP-1,324110.0,18910.9,Natural Gas (Weighted U.S. Average),True,True
1007739,110000428500.0,"Calumet Montana Refining, LLC",47.523611,-111.294167,CP-1,324110.0,4.5,Fuel Gas,True,True
1007739,110000428500.0,"Calumet Montana Refining, LLC",47.523611,-111.294167,GP-1,324110.0,6230.1,Natural Gas (Weighted U.S. Average),True,True
1007739,110000428500.0,"Calumet Montana Refining, LLC",47.523611,-111.294167,GP-2,324110.0,92377.5,Fuel Gas,True,True
1006032,,FORELAND REFINING CORP EAGLE SPRINGS REFINERY,38.6226,-115.6198,CP-Fuel Oil System,324110.0,15328.4,Residual Fuel Oil No. 5,True,True
1006032,,FORELAND REFINING CORP EAGLE SPRINGS REFINERY,38.6226,-115.6198,CP-Propane,324110.0,274.2,Propane,True,True
1006032,,FORELAND REFINING CORP EAGLE SPRINGS REFINERY,38.6226,-115.6198,Crude Unit Vent Gas to Furnace,324110.0,500.1,Fuel Gas,True,True
1007217,110000468093.0,HF Sinclair Parco Refining Company LLC,41.77899,-107.104,CP-2,324110.0,326518.9,Natural Gas (Weighted U.S. Average),True,True
1007217,110000468093.0,HF Sinclair Parco Refining Company LLC,41.77899,-107.104,CP-3,324110.0,39346.5,Fuel Gas,True,True
1007217,110000468093.0,HF Sinclair Parco Refining Company LLC,41.77899,-107.104,CP-4,324110.0,228543.9,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,COB_MERICHEM,324110.0,5225.2,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,CP-COGEN,324110.0,680107.5,Natural Gas (Weighted U.S. Average),True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,CP-COGEN,324110.0,680107.5,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,CP-HTU_CRU1,324110.0,64497.4,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,CP-HTU_CRU2,324110.0,193575.7,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,CP-PLT_FUELGAS,324110.0,440617.7,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,CP-SRU3_4,324110.0,10127.3,Natural Gas (Weighted U.S. Average),True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,HTU3,324110.0,13203.3,Fuel Gas,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,LabOctaneEngines,324110.0,6.3,Motor Gasoline,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,Lab_MiscCombustion,324110.0,364.6,Natural Gas (Weighted U.S. Average),True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,Lab_MiscCombustion,324110.0,364.6,Propane,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,NONEMERG-GEN,324110.0,16.8,Distillate Fuel Oil No. 1,True,True
1004211,110008214360.0,HF Sinclair Puget Sound Refining LLC,48.472836,-122.560194,TRUCKRACK,324110.0,1854.6,Fuel Gas,True,True
1005769,110055108431.0,HOLLYFRONTIER WOODS CROSS REFINING LLC,40.884195,-111.910878,GP-Mixed Fuel Gas,324110.0,244098.5,Fuel Gas,True,True
1005769,110055108431.0,HOLLYFRONTIER WOODS CROSS REFINING LLC,40.884195,-111.910878,GP-Natural Gas,324110.0,427.1,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Boiler 12,324110.0,4488.6,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Cogeneration Unit,324110.0,27326.0,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Crude Born Heater,324110.0,17947.4,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Crude Born Heater,324110.0,17947.4,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Crude THI Heater,324110.0,29168.6,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Crude THI Heater,324110.0,29168.6,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,DHT Charge Heater,324110.0,4634.2,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,DHT Charge Heater,324110.0,4634.2,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,DHT Reboiler Heater,324110.0,5601.6,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,DHT Reboiler Heater,324110.0,5601.6,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Flare Pilot,324110.0,137.6,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Flare Purge Gas,324110.0,153.3,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Flare Purge Gas,324110.0,153.3,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-DHT IC Engines,324110.0,397.2,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-KHT IC Engines,324110.0,369.9,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-Office,324110.0,20.9,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-Platformer IC Engines,324110.0,161.4,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-Thermal Oxidizers,324110.0,383.9,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-Thermal Oxidizers,324110.0,383.9,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-Thermal Oxidizers,324110.0,383.9,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,GP-Thermal Oxidizers,324110.0,383.9,Propane,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Heater H-2,324110.0,945.1,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,KHT Charge Heater,324110.0,2212.0,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,KHT Charge Heater,324110.0,2212.0,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,KHT Reboiler Heater,324110.0,2742.6,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,KHT Reboiler Heater,324110.0,2742.6,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Naphtha Reformer IC Engine,324110.0,10.0,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NHT Charge Heater,324110.0,6655.1,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NHT Charge Heater,324110.0,6655.1,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NHT IC Engine,324110.0,16.4,Natural Gas (Weighted U.S. Average),True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NHT Reboiler Heater,324110.0,3551.9,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NHT Reboiler Heater,324110.0,3551.9,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Heater #1,324110.0,8125.0,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Heater #1,324110.0,8125.0,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Heater #2,324110.0,5016.4,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Heater #2,324110.0,5016.4,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Heater #3,324110.0,2464.8,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Heater #3,324110.0,2464.8,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Splitter Heater,324110.0,2607.2,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,NRU Splitter Heater,324110.0,2607.2,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Heater #1,324110.0,4778.3,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Heater #1,324110.0,4778.3,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Heater #2,324110.0,2529.1,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Heater #2,324110.0,2529.1,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Heater #3,324110.0,3198.5,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Heater #3,324110.0,3198.5,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Splitter Heater,324110.0,3670.1,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,Platformer Splitter Heater,324110.0,3670.1,Other Biomass Gases,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,T-Mix H-1,324110.0,920.4,Fuel Gas,True,True
1004267,110000481611.0,Kern Energy,35.295278,-118.921111,T-Mix H-1,324110.0,920.4,Other Biomass Gases,True,True
1002286,110001187144.0,LUNDAY-THAGARD COMPANY,33.946295,-118.16704,GP-1,324110.0,35676.1,Natural Gas (Weighted U.S. Average),True,True
1002286,110001187144.0,LUNDAY-THAGARD COMPANY,33.946295,-118.16704,GP-1,324110.0,35676.1,Fuel Gas,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,CP-Mercaptan off-gas,324110.0,34.0,Fuel Gas,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARC Aggregated Ext Combustion,324110.0,628124.5,Natural Gas (Weighted U.S. Average),True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARC Aggregated Ext Combustion,324110.0,628124.5,Fuel Gas,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARC Flare Purge,324110.0,9971.3,Natural Gas (Weighted U.S. Average),True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARC IC engines,324110.0,74.6,Distillate Fuel Oil No. 2,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARC IC engines,324110.0,74.6,Motor Gasoline,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARC Invoiced NG,324110.0,258.8,Natural Gas (Weighted U.S. Average),True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARW IC engines,324110.0,15.2,Distillate Fuel Oil No. 2,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARW IC engines,324110.0,15.2,Motor Gasoline,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARW_NG,324110.0,1071.8,Natural Gas (Weighted U.S. Average),True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-LARW_RFG,324110.0,542673.6,Fuel Gas,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-Remediation,324110.0,648.2,Fuel Gas,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-Remediation,324110.0,648.2,Propane Gas,True,True
1006627,110071161537.0,Los Angeles Refinery (LAR),33.82431,-118.23237,GP-SRP_Boiler,324110.0,14037.4,Fuel Gas,True,True
