day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
100,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,117950.91323371683,166562.8895829728,493178.3383950714,1026487.2132120458
101,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,109124.48340198903,154098.75949286466,535162.9616837386,1200211.417919388
102,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,112072.55483216874,158261.84226734293,526511.3847356797,1198670.995175987
103,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,116662.6349504458,164743.6624077861,391452.71245700214,1074684.2231560296
104,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,123519.93592584977,174427.1190686846,463894.65249247267,1163666.9208278027
105,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,125432.97571022448,177128.59146391603,517521.57825519994,1221908.3587701358
106,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,111030.30855352693,152835.11326941932,486028.77692751767,998689.2707507487
107,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,116973.1234692311,161015.49444585995,500717.2209803949,1027500.9108957709
108,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,108219.86299677154,148966.48356281724,544141.870896225,1203153.4307966093
109,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,111143.49549731202,152990.91441311024,525026.6022129309,1190986.2254641487
110,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,115695.5247583742,159256.8568294291,372079.27740201773,1048856.8723306167
111,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,122495.98006364366,168617.80491398385,470335.9755444786,1163274.9738629018
112,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,124393.16112620832,171229.30447753664,507603.041955051,1205050.7208995915
113,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,109072.37113027685,154843.16585252117,492448.9479202311,1005159.5569033141
114,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,114910.38889757628,163131.02648967417,510860.3994096375,1037696.886797173
115,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,106311.48570357301,150923.7074344455,548744.6997784231,1207805.106257237
116,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,109183.56210597044,155001.01401853797,517685.71364673873,1183695.5031120428
117,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,113655.31969564782,161349.28268558218,389146.23597537895,1065976.0516974044
118,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,120335.85399816776,170833.2213289121,463043.1873202148,1156037.47598809
119,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,122199.57967499612,173479.0325655627,504690.906194333,1202194.7317756873
120,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,109657.20958137754,160465.7130852064,485100.2310282206,1004018.2256950894
121,88117.8799160259,8551.111055207073,1576.744324521749,29153.07751613546,11706.398083619217,102220.78934988624,7469.071754889239,115526.53039300565,169054.516212354,503674.551941714,1037050.6705473586
122,88117.8799160259,16695.25221439863,3078.447233998032,56918.68329337342,22855.657851521475,199576.62211766673,14582.670713811372,106881.52047946349,156403.93427500463,532488.0016501311,1197598.6697453947
