day_of_year,demand_mwh_baseline,demand_mwh_Iron_and_Steel,demand_mwh_Aluminum,demand_mwh_Cement,demand_mwh_Chemicals,demand_mwh_Refineries,demand_mwh_Glass,demand_mwh_Light_Duty_Transport,demand_mwh_Heavy_Duty_Transport,demand_mwh_aviation,demand_mwh_total
146,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,84478.69643077652,123045.86873431153,554039.7143791225,1097613.0406665767
147,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,85787.07718723356,124951.56447421605,639536.3625424153,1186323.765326231
148,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,76885.06652078652,110636.2600971232,649883.3621690854,1058680.8439039784
149,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,81000.2826817356,116557.98031029747,698859.1679129272,1117693.5860219435
150,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,74938.91959568798,107835.78634941457,713163.2422947828,1231986.7093622515
151,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,76963.4449907338,110749.04344571425,715006.4793275003,1238767.7288863147
152,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,80115.58495234264,115284.91494864173,554700.9280303172,1086150.1890536677
153,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,84824.69064905621,122061.23921656565,640141.4784233583,1183076.1694113463
154,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,86138.43006037144,123951.68532398227,705824.0480082745,1251962.9245149945
155,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,77232.57922361446,109267.80944789822,697352.6471093617,1105129.1908978578
156,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,81366.3957442371,115116.28439895739,711820.4671811846,1129579.3024413623
157,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,75277.63591179682,106501.97452578643,761917.8569980098,1279746.2285579592
158,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,77311.31195629659,109379.19778868202,730576.4868512523,1253315.757718597
159,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,80477.69927083522,113858.96547630035,583307.138077896,1113692.5639473977
160,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,85208.08964769046,120551.47395602193,664992.4234840292,1206800.748210108
161,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,86527.76702790262,122418.53729362377,718267.0402110512,1263262.1056549437
162,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,77385.1457760755,109981.78369966777,708921.2662801153,1117564.350872842
163,100768.26105378897,6413.333291405304,1182.5582433913119,21864.808137101594,8779.798562714412,76665.5920124147,5601.803816166928,81527.12830826215,115868.47357009133,724417.4363521051,1143089.193347442
164,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,75426.34063594216,107197.87634680979,762266.5698945117,1280939.5479996298
165,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,77464.03403873878,110093.89987061187,737723.1626855398,1261329.8577172565
166,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,80636.67628871,114602.93911404366,595088.7148895737,1126377.0914146937
167,100768.26105378897,12521.439160798973,2308.835425498524,42689.01247003006,17141.743388641105,149682.46658825007,10937.003035358528,85376.41115928598,121339.17757021864,649249.5153276771,1192013.865179548
